"KeywordID","Keyword","ScopeNote","Source","gdsdpwgCategory"
2493,"3-D",,"NGDSGeoportal2013-04",
8510,"abandonment",,"NGDSGeoportal2013-04",
1138,"abatement",,"NGDSGeoportal2013-04",
1522,"abrasion",,"NGDSGeoportal2013-04",
1428,"absorption",,"NGDSGeoportal2013-04",
1351,"acid",,"NGDSGeoportal2013-04",
1764,"acoustic",,"NGDSGeoportal2013-04",
543,"adsorption",,"NGDSGeoportal2013-04",
255,"agricultural use",,"NGDSGeoportal2013-04","01"
160,"alteration",,"NGDSGeoportal2013-04",
44,"business",,"NGDSGeoportal2013-04","03"
3817,"carbon dioxide",,"NGDSGeoportal2013-04",
104,"case study",,"NGDSGeoportal2013-04",
2708,"cement",,"NGDSGeoportal2013-04",
390,"cooling",,"NGDSGeoportal2013-04",
2,"data",,"NGDSGeoportal2013-04",
13,"direct use",,"NGDSGeoportal2013-04","Direct Use"
108,"document",,"NGDSGeoportal2013-04",
956,"bit",,"NGDSGeoportal2013-04","02.4"
21,"drilling",,"NGDSGeoportal2013-04","02"
25,"economics",,"NGDSGeoportal2013-04","03"
357,"element",,"NGDSGeoportal2013-04",
1023,"energy",,"NGDSGeoportal2013-04",
368,"engineering",,"NGDSGeoportal2013-04",
36,"enhanced geothermal",,"NGDSGeoportal2013-04","07.3"
38,"environment",,"NGDSGeoportal2013-04",
322,"equipment",,"NGDSGeoportal2013-04",
5,"exploration",,"NGDSGeoportal2013-04",
1434,"fluid production",,"NGDSGeoportal2013-04",
491,"fluids",,"NGDSGeoportal2013-04",
47,"fracture",,"NGDSGeoportal2013-04",
1765,"geochemical fluid",,"NGDSGeoportal2013-04",
14,"geochemistry",,"NGDSGeoportal2013-04","05"
225,"geochronology",,"NGDSGeoportal2013-04","06.1"
1,"geology",,"NGDSGeoportal2013-04","06"
23,"geophysics",,"NGDSGeoportal2013-04","08"
27,"geothermal energy",,"NGDSGeoportal2013-04",
206,"geothermal fluid",,"NGDSGeoportal2013-04",
6,"geothermal system",,"NGDSGeoportal2013-04",
573,"geothermal use",,"NGDSGeoportal2013-04",
